# Each author writes 6 times
10,Wednesday,RG,MH,
10,Thursday,HS,AG,
10,Friday,JN,KP,beyond
10,Saturday,JSt,APic,
11,Sunday,PG,SK,queue
11,Monday,AC,LZag,
11,Tuesday,RH,AM,
11,Wednesday,SW,SS,
11,Thursday,IM,HS,
11,Friday,VK,CM,beyond
11,Saturday,JH,WJG,
12,Sunday,RG,LZal,queue
12,Monday,KG,AW,
12,Tuesday,CC,APic,
12,Wednesday,PH,PG,
12,Thursday,GD,JN,
12,Friday,LL,GFA,beyond
12,Saturday,LZag,KP,
13,Sunday,JH,JS,queue
13,Monday,LA,WY,
13,Tuesday,ACu,AC,
13,Wednesday,VK,CM,
13,Thursday,RH,SW,
13,Friday,OC,MH,beyond
13,Saturday,AM,RG,
14,Sunday,PH,LZal,queue
14,Monday,AW,RH,
14,Tuesday,GD,WJG,
14,Wednesday,CC,APic,
14,Thursday,JS,IM,
14,Friday,MH,PG,beyond
14,Saturday,SS,JSt,
15,Sunday,KG,HS,queue
15,Monday,RH,LL,
15,Tuesday,AG,WY,
15,Wednesday,ZS,JS,
15,Thursday,AC,SN,
15,Friday,KP,APiz,beyond
15,Saturday,CM,CJ,
16,Sunday,MH,LA,queue
16,Monday,PG,LZag,
16,Tuesday,OC,AW,
16,Wednesday,JSt,AC,
16,Thursday,JS,KP,
16,Friday,SS,GFA,beyond
16,Saturday,LZal,ZS,
17,Sunday,SK,DG,queue
17,Monday,ACu,JN,
17,Tuesday,AM,JH,
17,Wednesday,GFA,IM,
17,Thursday,HS,AG,
17,Friday,WJG,OC,beyond
17,Saturday,WY,LL,
18,Sunday,DG,ACu,queue
18,Monday,MH,SS,
18,Tuesday,LA,KP,
18,Wednesday,SN,PG,
18,Thursday,JH,WJG,
18,Friday,AC,AM,beyond
18,Saturday,APiz,APic,
19,Sunday,WJG,VK,queue
19,Monday,APic,SW,
19,Tuesday,IM,HS,
19,Wednesday,JN,APiz,
19,Thursday,LZal,JSt,
19,Friday,LZag,MC,beyond
19,Saturday,WY,KG,
20,Sunday,KP,GD,queue
20,Monday,MC,JN,
20,Tuesday,JSt,SN,
20,Wednesday,VK,IM,
20,Thursday,SK,CC,
20,Friday,AG,APic,beyond
20,Saturday,SS,RG,
21,Sunday,CJ,WJG,queue
21,Monday,AW,AG,
21,Tuesday,WY,LZag,
21,Wednesday,CM,LL,
21,Thursday,APic,PH,
21,Friday,SN,AM,beyond
21,Saturday,DG,JS,
22,Sunday,JSt,APic,queue
22,Monday,ACu,AW,
22,Tuesday,VK,CJ,
22,Wednesday,PG,MC,
22,Thursday,GD,AC,
22,Friday,JS,SW,beyond
22,Saturday,PH,OC,
23,Sunday,SK,LZag,queue
23,Monday,LZal,APiz,
23,Tuesday,RH,GFA,
23,Wednesday,APic,PH,
23,Thursday,HS,ACu,
